,count,mean,std,min,25%,50%,75%,max,skew,kurt
API-MS-WIN-SECURITY-SDDLPARSECOND-L1-1-0.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
URL.DLL,29495.0,0.00142397016443465,0.03770929175483018,0.0,0.0,0.0,0.0,1.0,26.444932610493495,697.3817489025612
AVICAP32.DLL,29495.0,0.0002712324122732667,0.016467180661757674,0.0,0.0,0.0,0.0,1.0,60.698023032685924,3682.499703391882
BROWSEUI.DLL,29495.0,0.00010171215460247499,0.010084902451703305,0.0,0.0,0.0,0.0,1.0,99.14467486281816,9828.332994267532
DDRAW.DLL,29495.0,0.00016952025767079165,0.013019111613205904,0.0,0.0,0.0,0.0,1.0,76.7893216447005,5894.999647393271
ICMP.DLL,29495.0,0.00010171215460247499,0.010084902451703303,0.0,0.0,0.0,0.0,1.0,99.14467486281816,9828.332994267535
IPSECSNP.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
KBDIT.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
KBDKYR.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009299,14744.99972874229
MSDMO.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
MSIDENT.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
MSPORTS.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
OCCACHE.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
PANMAP.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
ULIB.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009299,14744.99972874229
WINSCARD.DLL,29495.0,0.00020342430920494998,0.014261480410337203,0.0,0.0,0.0,0.0,1.0,70.09517299261698,4911.666327637657
ACTXPRXY.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009299,14744.999728742292
ADSNT.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
AVIFIL32.DLL,29495.0,0.00061027292761485,0.024696582220371386,0.0,0.0,0.0,0.0,1.0,40.444753657194774,1633.8888892930354
CATSRVPS.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
CERTCLI.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
CERTMGR.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
CONSOLE.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
D3DXOF.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
DBNETLIB.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
DBNMPNTW.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
FILEMGMT.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
IASACCT.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
IEPEERS.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
INETCOMM.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
INSENG.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
KBDAL.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
KBDFI.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.433108740093,14744.999728742296
KBDIC.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
KBDNO.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
MIDIMAP.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
MSPATCHA.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
NTMARTA.DLL,29495.0,3.3904051534158335e-05,0.005822718569032712,0.0,0.0,0.0,0.0,1.0,171.74108419361966,29494.999999999975
SHDOCVW.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.433108740093,14744.999728742296
WEBCLNT.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009305,14744.999728742298
MFC42.DLL,29495.0,0.03522630954399051,0.184354465479647,0.0,0.0,0.0,0.0,1.0,5.042516402368093,23.428560309789056
MSVCP60.DLL,29495.0,0.0013900661129004916,0.037258299666769926,0.0,0.0,0.0,0.0,1.0,26.766854656996237,714.5129579925734
