feature,pca_importance
IMAGEHLP.DLL,0.0012156673683779264
API-MS-WIN-CORE-LIBRARYLOADER-L1-2-1.DLL,0.001205876115062207
API-MS-WIN-CORE-APIQUERY-L1-1-0.DLL,0.00118894610453009
API-MS-WIN-CORE-DEBUG-L1-1-1.DLL,0.0011848459717193108
API-MS-WIN-EVENTING-PROVIDER-L1-1-0.DLL,0.0011772059053022474
GDIPLUS.DLL,0.001111471966235826
FILEALIGNMENT,0.0011035769676787574
MSWSOCK.DLL,0.0011005695705420399
RDATA_MISC_VIRTUALSIZE,0.0010963707633795353
RELOC_MISC_VIRTUALSIZE,0.0010802018110240166
RELOC_SIZEOFRAWDATA,0.001078148292811279
NETUTILS.DLL,0.0010727504131423575
RDATA_SIZEOFRAWDATA,0.0010685580872745188
MSVBVM60.DLL,0.0010520055227657894
API-MS-WIN-CORE-CONSOLE-L3-2-0.DLL,0.0010479315898463775
URLMON.DLL,0.0010200611862454865
WSOCK32.DLL,0.0010113723827581997
PSAPI.DLL,0.0009967293528546342
WINMM.DLL,0.0009923198820950044
TLS_VIRTUALADDRESS,0.000988398373716038
WININET.DLL,0.0009880773160817328
PDATA_VIRTUALADDRESS,0.0009806376746300403
API-MS-WIN-SECURITY-SDDL-L1-1-0.DLL,0.0009508945320720269
API-MS-WIN-CORE-THREADPOOL-L1-2-0.DLL,0.0009456931608215035
API-MS-WIN-CORE-MEMORY-L1-1-2.DLL,0.0009418870443946981
PDATA_POINTERTORAWDATA,0.0009257984152970006
API-MS-WIN-CORE-CONSOLE-L2-1-0.DLL,0.0009064185040709623
MSCMS.DLL,0.0009023388282693025
API-MS-WIN-CORE-KERNEL32-LEGACY-L1-1-1.DLL,0.0009007358985699541
API-MS-WIN-SERVICE-CORE-L1-1-1.DLL,0.000898257381154776
API-MS-WIN-CORE-REGISTRY-L2-2-0.DLL,0.0008965659401845302
RSRC_POINTERTORAWDATA,0.0008907040207846186
API-MS-WIN-CORE-DATETIME-L1-1-1.DLL,0.0008681421109196598
API-MS-WIN-CORE-STRING-L2-1-0.DLL,0.0008579252948267014
API-MS-WIN-CORE-VERSION-L1-1-0.DLL,0.0008523818576415202
API-MS-WIN-SERVICE-MANAGEMENT-L1-1-0.DLL,0.0008459378073059143
API-MS-WIN-CORE-STRING-OBSOLETE-L1-1-0.DLL,0.0008444484418913899
